Title,Author,Rate
"Endless Knight (The Arcana Chronicles, #2)",Kresley Cole,4.36
"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)",Ann Brashares,3.83
Twilight Director's Notebook: The Story of How We Made the Movie Based on the Novel by Stephenie Meyer,Catherine Hardwicke,4.26
Pathways to Bliss: Mythology and Personal Transformation,Joseph Campbell,4.36
"Impossible (Impossible, #1)",Nancy Werlin,3.63
"Look Into My Eyes (Ruby Redfort, #1)",Lauren Child,4.22
The Hypnotist (Joona Linna #1),Lars Kepler,3.73
Lovely Trigger (Tristan & Danika #3),R.K. Lilley,4.52
Un Lun Dun,China Miéville,3.82
King of the Wind: The Story of the Godolphin Arabian,Marguerite Henry,4.20
"Never Never: Part Two (Never Never, #2)",Colleen Hoover,4.03
"Nine Minutes (Nine Minutes, #1)",Beth Flynn,4.37
"Tales from Earthsea (Earthsea Cycle, #5)",Ursula K. Le Guin,4.07
See Me,Nicholas Sparks,3.98
"The Widow (Kate Waters, #1)",Fiona Barton,3.51
The Coma,Alex Garland,3.38
De donkere kamer van Damokles,Willem Frederik Hermans,3.82
"Point of Impact (Bob Lee Swagger, #1)",Stephen Hunter,4.28
Beauty Queens,Libba Bray,3.62
Ross Poldark (Poldark #1),Winston Graham,4.08
"A Lot like Love (FBI/US Attorney, #2)",Julie James,4.07
"The Beauty of Darkness (The Remnant Chronicles, #3)",Mary E. Pearson,4.21
"Us Against You (Beartown, #2)",Fredrik Backman,4.34
A Grief Observed,C.S. Lewis,4.18
The Complete Poems,Percy Bysshe Shelley,4.09
"The Missing Piece (The Missing Piece, #1)",Shel Silverstein,4.25
"Mistral's Kiss (Merry Gentry, #5)",Laurell K. Hamilton,4.05
The Cantos,Ezra Pound,3.93
Doctor Glas,Hjalmar Söderberg,3.79
Waiting for You,Susane Colasanti,3.83
"The Power (The Secret, #2)",Rhonda Byrne,4.05
Complete Works of Oscar Wilde,Oscar Wilde,4.48
"The Unbound (The Archived, #2)",Victoria Schwab,4.22
Gerald's Game,Stephen King,3.55
The Myth of Sisyphus,Albert Camus,4.17
The Woman Warrior,Maxine Hong Kingston,3.72
Agnes Grey,Anne Brontë,3.70
Malgudi Days,R.K. Narayan,4.22
حول العالم في 200 يوم,أنيس منصور,4.08
The Year of the Death of Ricardo Reis,José Saramago,4.02
Perahu Kertas,Dee Lestari,3.97
"Princess of the Silver Woods ( The Princesses of Westfalin Trilogy, #3)",Jessica Day George,4.06
मृत्युंजय,Shivaji Sawant,4.51
"Startide Rising (The Uplift Saga, #2)",David Brin,4.04
The Inexplicable Logic of My Life,Benjamin Alire Sáenz,4.14
"Sorcery & Cecelia: or The Enchanted Chocolate Pot (Cecelia and Kate, #1)",Patricia C. Wrede,4.02
My Idea of Fun,Will Self,3.50
"The Code of the Woosters (Jeeves, #7)",P.G. Wodehouse,4.30
Prokleta avlija,Ivo Andrić,4.30
Shanna,Kathleen E. Woodiwiss,4.14
Divided Kingdom,Rupert Thomson,3.46
Memoirs of a Dutiful Daughter,Simone de Beauvoir,4.08
A Briefer History of Time,Stephen Hawking,4.24
"Kings of the Wyld (The Band, #1)",Nicholas Eames,4.29
Dakota Son,Mary Ramsey,4.41
Becoming Naomi León,Pam Muñoz Ryan,4.06
Thou Art That: Transforming Religious Metaphor,Joseph Campbell,4.32
The Freedom Writers Diary,Erin Gruwell,4.14
"Seeress of Kell (The Malloreon, #5)",David Eddings,4.11
Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,4.20
"Night Owl (Night Owl, #1)",M. Pierce,4.00
Night Train,Martin Amis,3.25
"Vampire Mountain (Cirque Du Freak, #4)",Darren Shan,4.16
The Stolen Child,Keith Donohue,3.73
Redshirts,John Scalzi,3.85
Caim,José Saramago,3.95
"Finally (Willow Falls, #2)",Wendy Mass,4.18
"Layman's Handbook, A journey to SELF",Aidan  Mc Nally,4.39
Dream Man,Linda Howard,4.04
"The Golden Spruce: A True Story of Myth, Madness, and Greed",John Vaillant,4.10
The Quiet Game (Penn Cage #1),Greg Iles,4.21
Lullabies for Little Criminals,Heather O'Neill,4.00
The Innocent Man: Murder and Injustice in a Small Town,John Grisham,3.84
"Time Between Us (Time Between Us, #1)",Tamara Ireland Stone,3.90
The Sunflower,Richard Paul Evans,4.12
"The Lust Lizard of Melancholy Cove (Pine Cove, #2)",Christopher Moore,3.86
The Women's Room,Marilyn French,3.97
"Bright Lights, Big City",Jay McInerney,3.78
"Ring (Ring, #1)",Kōji Suzuki,3.82
There's a Boy in the Girls' Bathroom,Louis Sachar,4.00
A Fórmula de Deus (Tomás Noronha #2),José Rodrigues dos Santos,3.93
Amazonia,James Rollins,4.13
"Magician's Gambit (The Belgariad, #3)",David Eddings,4.13
"The Sum of All Fears (Jack Ryan, #6)",Tom Clancy,4.04
"The Immortal Highlander (Highlander, #6)",Karen Marie Moning,4.29
"The White Queen (The Plantagenet and Tudor Novels, #2)",Philippa Gregory,3.95
Fences (The Century Cycle #6),August Wilson,3.88
Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,Hampton Sides,4.22
The Lady in the Lake,Raymond Chandler,4.05
The Hen Who Dreamed She Could Fly,Sun-mi Hwang,3.98
Martin Chuzzlewit,Charles Dickens,3.83
Ella Minnow Pea: A Novel in Letters,Mark Dunn,3.89
A Prisoner of Birth,Jeffrey Archer,4.17
"Night of the Soul Stealer (The Last Apprentice / Wardstone Chronicles, #3)",Joseph Delaney,4.14
The German Ideology / Theses on Feuerbach / Introduction to the Critique of Political Economy,Karl Marx,4.08
"Magician: Master (The Riftwar Saga, #2)",Raymond E. Feist,4.23
"Finn Family Moomintroll (The Moomins, #3)",Tove Jansson,4.30
As You Wish (Genies #1),Jackson Pearce,3.69
"Pegasus and the Origins of Olympus (Pegasus, #4)",Kate O'Hearn,4.48
The Invisible Bridge,Julie Orringer,4.17
"Rich People Problems (Crazy Rich Asians, #3)",Kevin Kwan,3.94
Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics,Tim  Marshall,4.19
Before Women Had Wings,Connie May Fowler,4.03
Velocity,Dean Koontz,3.87
"Kiss of a Demon King (Immortals After Dark, #6)",Kresley Cole,4.31
Holy Bible: New Living Translation,Anonymous,4.62
Autumn in Peking,Boris Vian,3.94
An Equal Music,Vikram Seth,3.79
"Rock Chick Regret (Rock Chick, #7)",Kristen Ashley,4.53
"The Madman’s Daughter (The Madman’s Daughter, #1)",Megan Shepherd,3.67
"What's Left of Me (The Hybrid Chronicles, #1)",Kat Zhang,3.78
"Friend-Zoned (Friend-Zoned, #1)",Belle Aurora,3.96
"Revelation Space (Revelation Space, #1)",Alastair Reynolds,3.98
The Iceman Cometh,Eugene O'Neill,3.87
"Green Angel (Green Angel, #1)",Alice Hoffman,3.92
"Another Fine Myth (Myth Adventures, #1)",Robert Lynn Asprin,4.03
Brown Girl Dreaming,Jacqueline Woodson,4.12
"Wintersong (Wintersong, #1)",S. Jae-Jones,3.54
Timon of Athens,William Shakespeare,3.42
Ferdydurke,Witold Gombrowicz,3.82
Fire Bringer,David Clement-Davies,4.19
Gitanjali,Rabindranath Tagore,4.31
90 Minutes in Heaven: A True Story of Death and Life,Don Piper,3.95
"Jacob (Nightwalkers, #1)",Jacquelyn Frank,3.99
No One Here Gets Out Alive,Danny Sugerman,3.91
The River of Doubt: Theodore Roosevelt's Darkest Journey,Candice Millard,4.13
The Silver Kiss,Annette Curtis Klause,3.69
The Strange Case of Origami Yoda (Origami Yoda #1),Tom Angleberger,3.90
"Seeking Crystal (Benedicts, #3)",Joss Stirling,4.29
The Golden Ass,Apuleius,3.88
"Fracture (Night School, #3)",C.J. Daugherty,4.11
Waterland,Graham Swift,3.91
"My Father's Dragon (My Father's Dragon, #1)",Ruth Stiles Gannett,4.09
"The Enchanted Forest Chronicles (The Enchanted Forest Chronicles, #1-4)",Patricia C. Wrede,4.49
"Someplace to Be Flying (Newford, #5)",Charles de Lint,4.32
The Diary of a Nobody,George Grossmith,3.71
Mike Mulligan and His Steam Shovel,Virginia Lee Burton,4.19
"Bed of Roses (Bride Quartet, #2)",Nora Roberts,4.12
L'Avare,Molière,3.65
"Sweet Filthy Boy (Wild Seasons, #1)",Christina Lauren,4.07
"The Last Templar (Templar, #1)",Raymond Khoury,3.62
Tam Lin,Pamela Dean,3.85
Women in Love,D.H. Lawrence,3.66
Waylander (The Drenai Saga #3),David Gemmell,4.28
"Pride Mates (Shifters Unbound, #1)",Jennifer Ashley,3.89
"The Girl in the Steel Corset (Steampunk Chronicles, #1)",Kady Cross,3.80
"The Summerhouse (The Summerhouse, #1)",Jude Deveraux,3.95
"Peter Nimble and His Fantastic Eyes (Peter Nimble, #1)",Jonathan Auxier,4.09
The Quantum Thief (Jean le Flambeur #1),Hannu Rajaniemi,3.83
"Branded (Sinners, #1)",Abi Ketner,3.80
"Death Note, Vol. 5: Whiteout (Death Note, #5)",Tsugumi Ohba,4.34
Il cavaliere inesistente,Italo Calvino,3.88
The Passion of Artemisia,Susan Vreeland,3.89
"Boys that Bite (Blood Coven Vampire, #1)",Mari Mancusi,3.68
Crown Duel (Crown & Court #1-2),Sherwood Smith,4.19
The Machine Stops,E.M. Forster,4.08
Anya's Ghost,Vera Brosgol,3.91
"An Author's Odyssey (The Land of Stories, #5)",Chris Colfer,4.46
The Dice Man,Luke Rhinehart,3.57
Storm of Steel,Ernst Jünger,4.07
"Checkmate (Neighbor from Hell, #3)",R.L. Mathewson,4.13
"The Target (Will Robie, #3)",David Baldacci,4.10
"Lord Edgware Dies (Hercule Poirot, #9)",Agatha Christie,3.93
"American Assassin (Mitch Rapp, #1)",Vince Flynn,4.24
Scar Tissue,Anthony Kiedis,4.09
Pictures of Hollis Woods,Patricia Reilly Giff,4.02
Full Moon Rising (Riley Jenson Guardian #1),Keri Arthur,3.88
Chronicles: Volume One,Bob Dylan,3.95
"Bloodlust (The Vampire Diaries: Stefan's Diaries, #2)",L.J. Smith,4.05
"13 Treasures (Thirteen Treasures, #1)",Michelle Harrison,4.04
"Archangel's Consort (Guild Hunter, #3)",Nalini Singh,4.21
Second Glance,Jodi Picoult,3.80
Jejak Langkah,Pramoedya Ananta Toer,4.37
"House of Glass (Buru Quartet, #4)",Pramoedya Ananta Toer,4.33
The Opposite of Loneliness: Essays and Stories,Marina Keegan,3.84
Pyongyang: A Journey in North Korea,Guy Delisle,3.90
"The Gravity of Us (Elements, #4)",Brittainy C. Cherry,4.37
"Broken (Will Trent, #4)",Karin Slaughter,4.16
Joan of Arc,Mark Twain,4.09
The 5000 Year Leap: A Miracle That Changed the World,W. Cleon Skousen,4.27
Left Neglected,Lisa Genova,3.98
Warrior of the Light,Paulo Coelho,3.69
"Beautifully Damaged (Beautifully Damaged, #1)",L.A. Fiore,3.98
Kerri's War (The King Trilogy #3),Stephen Douglass,3.84
Les jeux sont faits,Jean-Paul Sartre,3.96
A Unique Kind of Love,Jasmine  Rose,4.16
"City of Masks (Stravaganza, #1)",Mary Hoffman,3.92
The Elephant Vanishes,Haruki Murakami,3.85
"Hunters of the Dusk (Cirque Du Freak, #7)",Darren Shan,4.17
"Love Medicine (Love Medicine, #1)",Louise Erdrich,4.00
"Hidden (House of Night, #10)",P.C. Cast,3.99
"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,3.84
Pnin,Vladimir Nabokov,3.89
Journey to Ixtlan,Carlos Castaneda,4.07
"Perfection (Neighbor from Hell, #2)",R.L. Mathewson,4.14
A Modest Proposal,Jonathan Swift,4.02
The Piano Teacher,Elfriede Jelinek,3.56
The Nickel Boys,Colson Whitehead,4.26
"The Hard Goodbye (Sin City, #1)",Frank Miller,4.16
"The Emerald Atlas (The Books of Beginning, #1)",John  Stephens,3.94
Genome: the Autobiography of a Species in 23 Chapters,Matt Ridley,4.05
"This Is What Happy Looks Like (This is What Happy Looks Like, #1)",Jennifer E. Smith,3.68
سمفونی مردگان,عباس معروفی,4.18
The Thin Man,Dashiell Hammett,3.93
"Sanctuary (1-800-Where-R-You, #4)",Jenny Carroll,4.10
Epic Fail,Claire LaZebnik,3.73
Beautiful Broken Rules (Broken #1),Kimberly Lauren,4.12
Mindset: The New Psychology of Success,Carol S. Dweck,4.07
Prometheus Bound and Other Plays,Aeschylus,3.96
"The Midwife: A Memoir of Birth, Joy, and Hard Times",Jennifer Worth,4.15
Theatre,W. Somerset Maugham,4.15
"Naked Empire (Sword of Truth, #8)",Terry Goodkind,3.81
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,4.26
"Shattered Mirror (Den of Shadows, #3)",Amelia Atwater-Rhodes,4.03
"Forgive My Fins (Fins, #1)",Tera Lynn Childs,3.84
The Happy Spinster,Karena Marie,3.91
The Rule of Four,Ian Caldwell,3.31
"The Ship of the Dead (Magnus Chase and the Gods of Asgard, #3)",Rick Riordan,4.40
"Dicey's Song (Tillerman Cycle, #2)",Cynthia Voigt,3.98
The Devil's Arithmetic,Jane Yolen,4.01
"Eclipse (Warriors: Power of Three, #4)",Erin Hunter,4.32
The Best Laid Plans,Sidney Sheldon,3.70
False Memory,Dean Koontz,3.89
"Spark (Elemental, #2)",Brigid Kemmerer,4.14
"Ship Breaker (Ship Breaker, #1)",Paolo Bacigalupi,3.74
I'm Not Stiller,Max Frisch,4.04
So You Want to Be a Wizard (Young Wizards #1),Diane Duane,3.83
Measure for Measure,William Shakespeare,3.67
"Beyond the Grave (The 39 Clues, #4)",Jude Watson,3.92
Knowing God,J.I. Packer,4.28
"It Had to Be You (Chicago Stars, #1)",Susan Elizabeth Phillips,4.02
"The Magician's Land (The Magicians, #3)",Lev Grossman,4.13
"Seven Deadly Wonders (Jack West Jr, #1)",Matthew Reilly,4.09
Jacob Have I Loved,Katherine Paterson,3.68
The Structure of Scientific Revolutions,Thomas S. Kuhn,4.02
The Vast Fields of Ordinary,Nick Burd,3.93
The Summer Tree (The Fionavar Tapestry #1),Guy Gavriel Kay,3.98
"Rebel Spring (Falling Kingdoms, #2)",Morgan Rhodes,4.09
Little Women,Louisa May Alcott,4.03
It's a Storm Without God... It's the Perfect Journey When You Know the Name of Jesus Is Guaranteed!!!: My Life Testimony: There's No Excuse to Not Be Who You Want to Be... God's So Great!!!,Larry     Taylor,4.36
The Memory of Running,Ron McLarty,3.77
Kestrel's Midnight Song,J.R. Parker,4.00
The Schopenhauer Cure,Irvin D. Yalom,4.25
Ain't No Grave: The Life and Legacy of Brother Claude Ely,Macel Ely II,3.53
"The Song of the Lioness Quartet (Song of the Lioness, #1-4)",Tamora Pierce,4.59
Enjambre Sutil,Jose Dellepiane,4.53
"The Oaks (Royal Oaks, #1)",Jessica Loving,4.41
"Rock the Heart (Black Falcon, #1)",Michelle A. Valentine,4.00
"I Am Her... (I Am Her..., #1)",Sarah Ann Walker,3.94
Intermix Nation,M.P. Attardo,4.15
"Temptation (Temptation, #1)",Karen Ann Hopkins,3.77
Reckless Endangerment,Amber Lea Easton,4.01
The Two Towers (The Two Towers #1),Jamie A. Waters,4.05
"Verdammt. Verliebt. (Verdammt, #1)",Simona Dobrescu,4.19
"Twisted (Twisted, #1)",Lola Smirnova,3.82
Finding the Rainbow,Rachel McGrath,4.47
The Art of Startup Fundraising,Alejandro Cremades,4.01
Seven Cuts,Kady Hunt,4.09
I Am Waltz,Matthew D. Dho,4.09
"Deadly Pretty Strangers: One dead body, one bereaved mother, one small favour ...",Max Thorn,4.25
"The Rivers of Zadaa (Pendragon, #6)",D.J. MacHale,4.20
Rhett Butler's People,Donald McCaig,3.79
"Snakehead (Alex Rider, #7)",Anthony Horowitz,4.15
A Spy at Home,Joseph Rinaldo,3.71
The Mist,Stephen King,3.95
"Slade (New Species, #2)",Laurann Dohner,4.20
Zorro,Isabel Allende,3.77
"Broken Point (The Wayward Gifted, #1)",Donna K. Childree,3.86
"Dream Warrior (Dark-Hunter, #16; Dream-Hunter, #4)",Sherrilyn Kenyon,4.17
"Suit (The Twin Duo, #1)",Jettie Woodruff,4.14
Every Breath,Nicholas Sparks,4.03
Mirage,Nilakshi Garg,4.46
"The Empire of Gold (The Daevabad Trilogy, #3)",S.A. Chakraborty,4.51
"The Hollow Kingdom (The Hollow Kingdom Trilogy, #1)",Clare B. Dunkle,4.08
Midnight Bayou,Nora Roberts,3.99
"The Body in the Library (Miss Marple, #2)",Agatha Christie,3.85
The Story of Art,E.H. Gombrich,3.95
The Reivers,William Faulkner,3.79
My Most Excellent Year,Steve Kluger,4.04
"The Darkest Pleasure (Lords of the Underworld, #3)",Gena Showalter,4.26
"Desires of the Dead (The Body Finder, #2)",Kimberly Derting,4.06
The Dragonfly Pool,Eva Ibbotson,4.04
Monster,Frank E. Peretti,3.81
"Red Rabbit (Jack Ryan, #2)",Tom Clancy,3.72
"The Viper's Nest (The 39 Clues, #7)",Peter Lerangis,3.98
الجزار,حسن الجندي,4.09
Remarkable Creatures,Tracy Chevalier,3.86
My Uncle Oswald,Roald Dahl,3.86
Maryamah Karpov: Mimpi-mimpi Lintang,Andrea Hirata,3.67
"Heroes Die (The Acts of Caine, #1)",Matthew Woodring Stover,4.09
"The Assassin and the Desert (Throne of Glass, #0.3)",Sarah J. Maas,4.40
The Gladiator,Carla Capshaw,4.14
Jo's Boys,Louisa May Alcott,3.83
The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,Will Durant,4.13
Evolution of Insanity,Haresh Daswani,4.27
"Nemesis (Miss Marple, #11)",Agatha Christie,3.86
Why Not-World,Alexei Maxim Russell,4.13
"Second Helpings (Jessica Darling, #2)",Megan McCafferty,4.07
"The Queen (The Selection, #0.4)",Kiera Cass,3.87
Words on Fire,Jennifer A. Nielsen,4.24
Alphabet Amigos,Angel M. Alvarez,4.86
My Life and Hard Times,James Thurber,4.12
The Puzzle Ring,Kate Forsyth,4.08
"Endymion (Hyperion Cantos, #3)",Dan Simmons,4.18
"11 Birthdays (Willow Falls, #1)",Wendy Mass,4.17
Submarine,Joe Dunthorne,3.75
At Home: A Short History of Private Life,Bill Bryson,3.97
"Reasonable Doubt: Volume 1 (Reasonable Doubt, #1)",Whitney G.,4.07
"Abuse (Abuse, #1)",Nikki Sex,4.07
"The Shamer's Daughter (The Shamer Chronicles, #1)",Lene Kaaberbøl,3.91
War's Unwomanly Face,Svetlana Alexievich,4.51
One Night with the Prince,T.M. Mendes,3.97
Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3),Naguib Mahfouz,4.47
At the Mountains of Madness and Other Tales of Terror,H.P. Lovecraft,4.26
"When Hitler Stole Pink Rabbit (Out of the Hitler Time, #1)",Judith Kerr,3.99
"The Hunters (Brotherband Chronicles, #3)",John Flanagan,4.45
"Rebirth (The Keeper, #3)",O.L. Ramos,4.42
How to Love,Katie Cotugno,3.69
S.,J.J. Abrams,3.85
An Anonymous Girl,Greer Hendricks,3.82
"Stay with Me (Stay with Me, #1)",Nicole Fiorina,4.21
"The Reality Bug (Pendragon, #4)",D.J. MacHale,4.16
"The Divine Comedy of Dante Alighieri, Volume 2: Purgatorio",Dante Alighieri,4.03
"A Murder Is Announced (Miss Marple, #4)",Agatha Christie,4.00
"Hunting Human (Prime Legacy, #1)",Amanda E. Alvarez,3.72
Esio Trot,Roald Dahl,3.74
"Air Awakens (Air Awakens, #1)",Elise Kova,4.01
A Butler Christmas,Rahiem Brooks,4.61
Artemis,Andy Weir,3.68
"El laberinto de los espíritus (El cementerio de los libros olvidados, #4)",Carlos Ruiz Zafón,4.51
Reservation Blues,Sherman Alexie,3.98
"The Empress's Tomb (Kiki Strike, #2)",Kirsten Miller,4.14
"Class A (Cherub, #2)",Robert Muchamore,4.29
Desolation Angels,Jack Kerouac,3.93
Dark Tower Boxed Set,Stephen King,4.51
"Allies of the Night (Cirque du Freak, #8)",Darren Shan,4.19
"The Kill Artist (Gabriel Allon, #1)",Daniel Silva,4.02
I Kill Giants,Joe Kelly,4.15
"Revealing Eden (Save the Pearls, #1)",Victoria Foyt,2.04
Ain't She Sweet?,Susan Elizabeth Phillips,4.08
"Charade (Games, #1)",Nyrae Dawn,3.97
"At Peace (The 'Burg, #2)",Kristen Ashley,4.47
Knight in Shining Suit,Jerilee Kaye,4.34
Demented (Sinister Tales Book 1),Anna Gallegos,4.65
The Black Flamingo,Dean Atta,4.41
"In the Forests of the Night (Den of Shadows, #1)",Amelia Atwater-Rhodes,3.88
The Baby Killers,Jay Lake,4.36
The Lottery,Shirley Jackson,4.08
Killing Lincoln: The Shocking Assassination that Changed America Forever,Bill O'Reilly,4.02
"The Affair (Jack Reacher, #16)",Lee Child,4.12
Conduit (Emily Monroe #1),Angie Martin,3.96
Tell Me Three Things,Julie Buxbaum,4.07
"Still Me (Me Before You, #3)",Jojo Moyes,4.12
The Price of Salt,Patricia Highsmith,4.00
"Revenge of the Sith (Star Wars: Novelizations, #3)",Matthew Woodring Stover,4.19
A Man Without a Country,Kurt Vonnegut Jr.,4.07
The True Meaning of Smekday,Adam Rex,4.10
Mr. Maybe,Jane Green,3.47
Mid Ocean,T. Rafael Cimino,3.85
The Moral Landscape: How Science Can Determine Human Values,Sam Harris,3.91
Poison,Chris Wooding,4.00
"To Tame a Highland Warrior (Highlander, #2)",Karen Marie Moning,4.13
This is All: The Pillow Book of Cordelia Kenn,Aidan Chambers,4.31
A Bite's Tale,Veronica Blade,3.75
"Legion (Legion, #1)",Brandon Sanderson,4.14
"Made (Sempre, #0.4)",J.M. Darhower,4.52
Butcher's Crossing,John  Williams,4.15
"The Reader (Sea of Ink and Gold, #1)",Traci Chee,3.80
"The Art of Living: The Classical Manual on Virtue, Happiness and Effectiveness",Epictetus,4.24
L'Œuvre au noir,Marguerite Yourcenar,4.06
"Skin Trade (Anita Blake, Vampire Hunter #17)",Laurell K. Hamilton,3.92
Milkweed,Jerry Spinelli,4.00
"Thirst No. 2: Phantom, Evil Thirst, and Creatures of Forever (Thirst, #2)",Christopher Pike,4.07
"Dark Needs at Night's Edge (Immortals After Dark, #4)",Kresley Cole,4.29
"When Darkness Comes (Guardians of Eternity, #1)",Alexandra Ivy,3.84
Mutant Message Down Under,Marlo Morgan,3.76
The Gathering Darkness,Lisa Collicutt,3.80
"The Long Earth (The Long Earth, #1)",Terry Pratchett,3.77
Release,Patrick Ness,3.68
"Pines (Wayward Pines, #1)",Blake Crouch,3.93
The Alliance,Gerald N. Lund,4.22
Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,4.09
And to Think That I Saw It on Mulberry Street,Dr. Seuss,3.97
"Mara, Daughter of the Nile",Eloise Jarvis McGraw,4.24
The Midwife's Confession,Diane Chamberlain,4.08
Cathedral,Raymond Carver,4.26
Tracy's Tiger,William Saroyan,4.25
The Law,Frédéric Bastiat,4.36
Capital in the Twenty-First Century,Thomas Piketty,4.03
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,3.94
In Other Lands,Sarah Rees Brennan,4.36
The Upside of Falling,Alex Light,3.65
ROCKLEDGE: INTRODUCING CADE CHASE,John M. Vermillion,4.32
Gulliver's Travels / A Modest Proposal,Jonathan Swift,3.88
"Blade of Tyshalle (The Acts of Caine, #2)",Matthew Woodring Stover,4.06
"Scar Night (Deepgate Codex, #1)",Alan Campbell,3.62
"The Sword Thief (The 39 Clues, #3)",Peter Lerangis,3.89
The Dunwich Horror and Others,H.P. Lovecraft,4.20
The Heretic's Daughter,Kathleen Kent,3.77
"Clear and Present Danger (Jack Ryan, #5; Jack Ryan Universe, #6)",Tom Clancy,4.12
"Foretold (The Demon Trappers, #4)",Jana Oliver,4.32
"Akarnae (The Medoran Chronicles, #1)",Lynette Noni,4.25
"One Small Sacrifice (Shadows of New York, #1)",Hilary Davidson,3.87
Inspired by The Holy Ghost,Aimee Cabo Nikolov,4.34
The Unabridged Devil's Dictionary,Ambrose Bierce,4.03
Endgame & Act Without Words,Samuel Beckett,3.89
"King of Sword and Sky (Tairen Soul, #3)",C.L. Wilson,4.28
"The Last Hope (Warriors: Omen of the Stars, #6)",Erin Hunter,4.57
Ishmael,E.D.E.N. Southworth,4.38
"Memory (Vorkosigan Saga, #10)",Lois McMaster Bujold,4.41
"Cabin Fever (Diary of a Wimpy Kid, #6)",Jeff Kinney,4.24
"The Evolution of Calpurnia Tate (Calpurnia Tate, #1)",Jacqueline Kelly,3.97
Why Be Happy When You Could Be Normal?,Jeanette Winterson,3.95
Ask the Passengers,A.S. King,3.85
"Smooth Talking Stranger (Travises, #3)",Lisa Kleypas,4.14
Tweet Cute,Emma Lord,3.98
"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly  Jackson,4.20
Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,4.13
The Magician's Assistant,Ann Patchett,3.69
"This Heart of Mine (Chicago Stars, #5)",Susan Elizabeth Phillips,4.09
"The Fury (The Vampire Diaries, #3)",L.J. Smith,3.52
"Vampire, Interrupted (Argeneau #9)",Lynsay Sands,4.34
Beautiful Boy: A Father's Journey Through His Son's Addiction,David Sheff,4.10
Gazing Into the Eternal,Belzebuub,4.58
"The Rogue (Traitor Spy Trilogy, #2)",Trudi Canavan,4.04
"Pegasus and the Fight for Olympus (Pegasus, #2)",Kate O'Hearn,4.40
All Hallows Eve (New England Witch Chronicles #4),Chelsea Luna,4.30
Undone,Cat Clarke,4.14
Meditation: Insights and Inspirations,Amit Ray,4.76
The Drowning of Arthur Braxton,Caroline Smailes,3.86
"The Lost Heir (Wings of Fire, #2)",Tui T. Sutherland,4.49
Verity,Colleen Hoover,4.40
The Unusual Suspects (The Sisters Grimm #2),Michael Buckley,4.24
The Book of Awesome,Neil Pasricha,3.80
The Romance of Tristan and Iseult,Joseph Bédier,3.60
New Yesterdays,Jim L. Wright,4.35
"Until Friday Night (The Field Party, #1)",Abbi Glines,3.95
"A Tale of Magic... (A Tale of Magic, #1)",Chris Colfer,4.13
The Anthropocene Reviewed,John Green,4.45
"Teacher Man (Frank McCourt, #3)",Frank McCourt,3.72
The Buddha of Suburbia,Hanif Kureishi,3.74
After,Amy Efaw,3.73
"The Study Series Bundle (Study, #1-3)",Maria V. Snyder,4.46
Brightly Woven,Alexandra Bracken,3.80
Kon-Tiki,Thor Heyerdahl,4.14
The Raging Quiet,Sherryl Jordan,4.23
Smack,Melvin Burgess,3.90
Leo,Mia Sheridan,4.01
Twisted (Sinister Tales Book 2),Anna Gallegos,4.49
Alice's Adventures in Wonderland & Other Stories,Lewis Carroll,4.24
"The Darkest Temptation (Made, #3)",Danielle Lori,4.18
The Betrothed,Alessandro Manzoni,3.85
The Book of Embraces,Eduardo Galeano,4.34
The Wish List,Eoin Colfer,3.78
"Hillbilly Tales from the Smoky Mountains - And Other Homespun Remedies, Proverbs, and Poetry",Patricia H. Graham,3.79
Danse Macabre,Stephen King,3.65
Southern Mystical Moments,Patricia H. Graham,4.17
The Case of Charles Dexter Ward,H.P. Lovecraft,4.16
Central Park,Guillaume Musso,3.95
Austerlitz,W.G. Sebald,3.95
The Divan,Hafez,4.64
"Leave It to Psmith (Psmith, #4)",P.G. Wodehouse,4.23
How to Kill an Incubus (Incubus #1),Kimber  Lee,4.33
A Heart So White,Javier Marías,4.01
"Winter Rose (Winter Rose, #1)",Patricia A. McKillip,3.85
The Last Book in the Universe,Rodman Philbrick,3.91
Tully,Paullina Simons,3.89
"Tris's Book (Circle of Magic, #2)",Tamora Pierce,4.10
"Rakkety Tam (Redwall, #17)",Brian Jacques,4.15
Wiseguy,Nicholas Pileggi,4.20
Entangled,Cat Clarke,3.71
"Darius the Great Is Not Okay (Darius The Great, #1)",Adib Khorram,4.28
"Crave (Crave, #1)",Tracy Wolff,3.79
"Our Violent Ends (These Violent Delights, #2)",Chloe Gong,4.55
The Song of Achilles,Madeline Miller,4.41
"Death's Mistress (Dorina Basarab, #2)",Karen Chance,4.20
